OFFENSE,BLOCK_GROUP,COUNT(*)
"ASSAULT W/DANGEROUS WEAPON","002801 2",29
"ASSAULT W/DANGEROUS WEAPON","002802 1",65
"ASSAULT W/DANGEROUS WEAPON","002802 2",41
"ASSAULT W/DANGEROUS WEAPON","002900 1",8
"ASSAULT W/DANGEROUS WEAPON","002900 2",31
"ASSAULT W/DANGEROUS WEAPON","003000 1",34
"ASSAULT W/DANGEROUS WEAPON","003000 2",41
"ASSAULT W/DANGEROUS WEAPON","003100 1",89
"ASSAULT W/DANGEROUS WEAPON","003200 1",8
"ASSAULT W/DANGEROUS WEAPON","003200 2",12
"ASSAULT W/DANGEROUS WEAPON","003200 3",38
"ASSAULT W/DANGEROUS WEAPON","003200 4",15
"ASSAULT W/DANGEROUS WEAPON","003301 1",6
"ASSAULT W/DANGEROUS WEAPON","003301 2",6
"ASSAULT W/DANGEROUS WEAPON","003301 3",8
"ASSAULT W/DANGEROUS WEAPON","003302 1",4
"ASSAULT W/DANGEROUS WEAPON","003302 2",21
"ASSAULT W/DANGEROUS WEAPON","003400 1",41
"ASSAULT W/DANGEROUS WEAPON","003400 2",31
"ASSAULT W/DANGEROUS WEAPON","003500 1",40
"ASSAULT W/DANGEROUS WEAPON","003500 2",36
"ASSAULT W/DANGEROUS WEAPON","003600 1",7
"ASSAULT W/DANGEROUS WEAPON","003600 2",10
"ASSAULT W/DANGEROUS WEAPON","003600 3",31
"ASSAULT W/DANGEROUS WEAPON","003700 1",11
"ASSAULT W/DANGEROUS WEAPON","003700 2",43
"ASSAULT W/DANGEROUS WEAPON","003700 3",14
"ASSAULT W/DANGEROUS WEAPON","003800 1",9
"ASSAULT W/DANGEROUS WEAPON","003800 2",7
"ASSAULT W/DANGEROUS WEAPON","003800 3",26
"ASSAULT W/DANGEROUS WEAPON","003900 1",5
"ASSAULT W/DANGEROUS WEAPON","003900 2",8
"ASSAULT W/DANGEROUS WEAPON","003900 3",10
"ASSAULT W/DANGEROUS WEAPON","004001 1",13
"ASSAULT W/DANGEROUS WEAPON","004001 3",1
"ASSAULT W/DANGEROUS WEAPON","004002 1",30
"ASSAULT W/DANGEROUS WEAPON","004002 2",10
"ASSAULT W/DANGEROUS WEAPON","004002 3",1
"ASSAULT W/DANGEROUS WEAPON","004100 1",7
"ASSAULT W/DANGEROUS WEAPON","004100 2",3
"ASSAULT W/DANGEROUS WEAPON","004100 3",5
"ASSAULT W/DANGEROUS WEAPON","004201 1",7
"ASSAULT W/DANGEROUS WEAPON","004201 2",9
"ASSAULT W/DANGEROUS WEAPON","004202 1",4
"ASSAULT W/DANGEROUS WEAPON","004202 2",6
"ASSAULT W/DANGEROUS WEAPON","004300 1",43
"ASSAULT W/DANGEROUS WEAPON","004300 2",24
"ASSAULT W/DANGEROUS WEAPON","004400 1",19
"ASSAULT W/DANGEROUS WEAPON","004400 2",94
"ASSAULT W/DANGEROUS WEAPON","004600 1",93
