OFFENSE,BLOCK_GROUP,COUNT(*)
ROBBERY,"005900 1",76
ROBBERY,"006202 1",45
ROBBERY,"006400 1",43
ROBBERY,"006400 2",19
ROBBERY,"006500 1",25
ROBBERY,"006500 2",12
ROBBERY,"006600 1",42
ROBBERY,"006700 1",25
ROBBERY,"006700 2",18
ROBBERY,"006700 3",32
ROBBERY,"006801 1",56
ROBBERY,"006801 2",20
ROBBERY,"006802 1",18
ROBBERY,"006802 2",36
ROBBERY,"006804 1",7
ROBBERY,"006900 1",55
ROBBERY,"006900 2",60
ROBBERY,"007000 1",35
ROBBERY,"007000 2",72
ROBBERY,"007100 1",21
ROBBERY,"007100 2",88
ROBBERY,"007200 1",27
ROBBERY,"007200 2",49
ROBBERY,"007304 1",133
ROBBERY,"007304 2",35
ROBBERY,"007304 3",39
ROBBERY,"007401 1",116
ROBBERY,"007401 2",47
ROBBERY,"007403 1",73
ROBBERY,"007404 1",46
ROBBERY,"007404 2",45
ROBBERY,"007404 3",38
ROBBERY,"007406 1",46
ROBBERY,"007406 2",108
ROBBERY,"007407 1",31
ROBBERY,"007407 2",50
ROBBERY,"007408 1",80
ROBBERY,"007409 1",17
ROBBERY,"007409 2",22
ROBBERY,"007409 3",44
ROBBERY,"007502 1",53
ROBBERY,"007502 2",77
ROBBERY,"007503 1",140
ROBBERY,"007503 2",41
ROBBERY,"007504 1",88
ROBBERY,"007601 1",84
ROBBERY,"007601 2",19
ROBBERY,"007601 3",40
ROBBERY,"007601 4",32
ROBBERY,"007601 5",18
ROBBERY,"007603 1",68
ROBBERY,"007603 2",52
ROBBERY,"007603 3",13
ROBBERY,"007603 4",35
ROBBERY,"007604 1",30
ROBBERY,"007604 2",40
ROBBERY,"007604 3",21
ROBBERY,"007605 1",8
ROBBERY,"007605 2",38
ROBBERY,"007605 3",24
ROBBERY,"007703 1",51
ROBBERY,"007703 2",20
ROBBERY,"007703 3",91
ROBBERY,"007703 4",26
ROBBERY,"007707 1",78
ROBBERY,"007707 2",45
ROBBERY,"007708 1",35
ROBBERY,"007708 2",58
ROBBERY,"007709 1",31
ROBBERY,"007709 2",22
ROBBERY,"007803 1",145
ROBBERY,"007803 2",20
ROBBERY,"007803 3",62
ROBBERY,"007803 4",44
ROBBERY,"007804 1",59
ROBBERY,"007804 2",99
ROBBERY,"007804 3",68
ROBBERY,"007806 1",59
ROBBERY,"007806 2",77
ROBBERY,"007807 1",51
ROBBERY,"007807 2",70
ROBBERY,"007808 1",67
ROBBERY,"007808 2",70
ROBBERY,"007808 3",26
ROBBERY,"007809 1",31
ROBBERY,"007809 2",57
ROBBERY,"007901 1",59
ROBBERY,"007901 2",27
ROBBERY,"007901 3",12
ROBBERY,"007901 4",68
ROBBERY,"007903 1",76
ROBBERY,"008001 1",25
ROBBERY,"008001 2",38
ROBBERY,"008001 3",18
ROBBERY,"008002 1",36
ROBBERY,"008002 2",39
ROBBERY,"008100 1",12
ROBBERY,"008100 2",11
ROBBERY,"008100 3",7
ROBBERY,"008200 1",8
ROBBERY,"008200 2",9
ROBBERY,"008301 1",24
ROBBERY,"008301 2",19
ROBBERY,"008302 1",92
ROBBERY,"008402 1",58
ROBBERY,"008402 2",54
ROBBERY,"008410 1",103
ROBBERY,"008701 1",48
ROBBERY,"008701 2",34
ROBBERY,"008702 1",46
ROBBERY,"008702 2",20
ROBBERY,"008802 1",25
ROBBERY,"008802 2",81
ROBBERY,"008802 3",55
ROBBERY,"008802 4",32
ROBBERY,"008803 1",182
ROBBERY,"008804 1",34
ROBBERY,"008804 2",95
ROBBERY,"008903 1",50
ROBBERY,"008903 2",13
ROBBERY,"008904 1",61
ROBBERY,"008904 2",86
ROBBERY,"009000 1",14
ROBBERY,"009000 2",6
ROBBERY,"009102 1",42
ROBBERY,"009102 2",147
ROBBERY,"009102 3",19
ROBBERY,"009201 1",48
ROBBERY,"009203 1",25
ROBBERY,"009203 2",41
ROBBERY,"009204 1",38
ROBBERY,"009204 2",53
ROBBERY,"009301 1",17
ROBBERY,"009301 2",46
ROBBERY,"009301 3",21
ROBBERY,"009301 4",19
ROBBERY,"009302 1",49
ROBBERY,"009400 1",18
ROBBERY,"009400 2",40
ROBBERY,"009400 3",23
ROBBERY,"009400 4",5
ROBBERY,"009501 1",33
ROBBERY,"009501 2",15
ROBBERY,"009501 3",44
ROBBERY,"009503 1",25
ROBBERY,"009503 2",8
ROBBERY,"009503 3",7
ROBBERY,"009504 1",44
ROBBERY,"009504 2",16
ROBBERY,"009505 1",16
ROBBERY,"009505 2",4
ROBBERY,"009505 3",27
ROBBERY,"009507 1",19
ROBBERY,"009508 1",54
ROBBERY,"009508 2",14
ROBBERY,"009508 3",9
ROBBERY,"009509 1",5
ROBBERY,"009509 2",13
ROBBERY,"009509 3",15
ROBBERY,"009601 1",128
ROBBERY,"009602 1",113
ROBBERY,"009602 2",7
ROBBERY,"009603 1",73
ROBBERY,"009603 2",179
ROBBERY,"009603 3",83
ROBBERY,"009604 1",31
ROBBERY,"009604 2",22
ROBBERY,"009700 1",50
ROBBERY,"009700 2",29
ROBBERY,"009801 1",40
ROBBERY,"009802 1",1
ROBBERY,"009802 2",18
ROBBERY,"009803 1",31
ROBBERY,"009803 2",12
ROBBERY,"009803 3",19
ROBBERY,"009804 1",60
ROBBERY,"009804 2",47
ROBBERY,"009807 1",64
ROBBERY,"009807 2",64
ROBBERY,"009810 1",62
ROBBERY,"009810 2",10
ROBBERY,"009811 1",35
ROBBERY,"009811 2",56
ROBBERY,"009901 1",10
ROBBERY,"009901 2",33
ROBBERY,"009902 1",48
ROBBERY,"009902 2",29
ROBBERY,"009903 1",21
ROBBERY,"009903 2",38
ROBBERY,"009904 1",31
ROBBERY,"009904 2",62
ROBBERY,"009905 1",33
ROBBERY,"009905 2",20
ROBBERY,"009905 3",22
ROBBERY,"009906 1",96
ROBBERY,"009907 1",12
ROBBERY,"009907 2",55
ROBBERY,"010100 1",111
ROBBERY,"010100 2",34
ROBBERY,"010200 1",21
ROBBERY,"010200 2",60
ROBBERY,"010300 1",10
ROBBERY,"010300 2",10
ROBBERY,"010300 3",18
ROBBERY,"010400 1",148
ROBBERY,"010400 2",119
ROBBERY,"010500 1",25
ROBBERY,"010500 2",4
ROBBERY,"010600 1",24
ROBBERY,"010600 2",238
ROBBERY,"010600 3",27
ROBBERY,"010700 1",94
ROBBERY,"010700 2",62
ROBBERY,"010800 1",34
ROBBERY,"010800 2",4
ROBBERY,"010800 3",15
ROBBERY,"010900 1",27
ROBBERY,"010900 2",69
ROBBERY,"011000 1",5
ROBBERY,"011000 2",14
ROBBERY,"011000 3",12
ROBBERY,"011000 4",17
ROBBERY,"011100 1",105
ROBBERY,"011100 2",44
ROBBERY,"011100 3",79
