GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010007011,110010007011,"Block Group 1, Census Tract 7.01, District of Columbia, District of Columbia",781,143,100,82,83,78,0,12,14,23,19,31,14,21,0,12,35,39,13,22,108,69,82,73,101,53,43,33,61,46,39,45,69,63
1500000US110010007012,110010007012,"Block Group 2, Census Tract 7.01, District of Columbia, District of Columbia",878,169,40,43,20,33,12,20,0,12,98,64,30,33,67,44,53,82,19,31,10,15,120,107,79,63,126,93,0,12,46,54,158,108
1500000US110010007013,110010007013,"Block Group 3, Census Tract 7.01, District of Columbia, District of Columbia",1144,141,62,57,12,19,26,29,40,64,14,22,28,45,11,17,0,12,52,49,33,36,94,60,125,87,129,82,100,80,192,97,226,84
1500000US110010007014,110010007014,"Block Group 4, Census Tract 7.01, District of Columbia, District of Columbia",567,132,40,47,8,12,12,20,0,12,36,57,114,85,0,12,22,33,0,12,9,15,0,12,87,82,74,52,66,59,28,44,71,45
1500000US110010007021,110010007021,"Block Group 1, Census Tract 7.02, District of Columbia, District of Columbia",836,124,35,41,54,82,46,34,0,12,0,12,16,20,23,35,15,24,37,43,24,36,122,65,208,102,92,60,21,24,73,54,70,64
1500000US110010007022,110010007022,"Block Group 2, Census Tract 7.02, District of Columbia, District of Columbia",795,182,69,83,97,65,61,78,10,16,57,57,0,12,0,12,9,14,79,89,98,89,120,113,96,60,79,60,10,15,10,15,0,12
1500000US110010007023,110010007023,"Block Group 3, Census Tract 7.02, District of Columbia, District of Columbia",516,125,0,12,30,33,0,12,15,24,0,12,0,12,4,7,24,28,9,18,63,48,70,88,57,45,101,59,77,80,57,53,9,14
1500000US110010008011,110010008011,"Block Group 1, Census Tract 8.01, District of Columbia, District of Columbia",1269,128,105,59,25,29,71,77,18,22,31,34,17,27,34,39,37,41,0,12,28,33,91,62,181,83,192,113,35,39,142,101,262,94
1500000US110010008012,110010008012,"Block Group 2, Census Tract 8.01, District of Columbia, District of Columbia",321,107,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,9,15,0,12,34,37,0,12,78,82,200,74
1500000US110010008013,110010008013,"Block Group 3, Census Tract 8.01, District of Columbia, District of Columbia",995,143,23,28,0,12,0,12,21,32,13,20,68,83,0,12,16,24,32,35,0,12,31,33,86,63,69,56,18,28,120,78,498,114
1500000US110010008014,110010008014,"Block Group 4, Census Tract 8.01, District of Columbia, District of Columbia",298,78,0,12,0,12,23,40,0,12,0,12,14,23,0,12,31,40,0,12,0,12,6,19,54,61,47,55,14,23,0,12,109,68
1500000US110010008021,110010008021,"Block Group 1, Census Tract 8.02, District of Columbia, District of Columbia",893,85,86,52,32,54,11,17,5,8,30,38,10,15,33,27,24,28,7,11,49,43,81,68,139,59,71,40,33,27,75,41,207,65
1500000US110010008022,110010008022,"Block Group 2, Census Tract 8.02, District of Columbia, District of Columbia",449,79,78,71,15,16,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,85,70,17,20,21,22,21,23,28,25,177,65
1500000US110010009011,110010009011,"Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",564,62,19,22,21,22,10,15,0,12,0,12,0,12,0,12,0,12,10,16,16,19,9,13,37,31,56,36,49,50,73,34,264,68
1500000US110010009012,110010009012,"Block Group 2, Census Tract 9.01, District of Columbia, District of Columbia",610,76,9,14,4,9,0,12,0,12,0,12,0,12,0,12,34,32,0,12,35,34,26,31,32,25,51,31,32,27,49,36,338,67
1500000US110010009013,110010009013,"Block Group 3, Census Tract 9.01, District of Columbia, District of Columbia",406,63,8,13,9,14,12,19,0,12,0,12,0,12,0,12,35,55,0,12,0,12,0,12,20,22,10,15,0,12,39,25,273,54
1500000US110010009021,110010009021,"Block Group 1, Census Tract 9.02, District of Columbia, District of Columbia",368,56,0,12,0,12,0,12,0,12,0,12,0,12,5,7,28,42,6,9,0,12,6,9,56,41,23,15,10,11,33,23,201,47
1500000US110010009022,110010009022,"Block Group 2, Census Tract 9.02, District of Columbia, District of Columbia",510,52,0,12,0,12,4,7,0,12,12,13,5,8,0,12,7,10,12,11,31,33,22,17,19,17,58,35,52,32,41,21,247,51
1500000US110010010011,110010010011,"Block Group 1, Census Tract 10.01, District of Columbia, District of Columbia",298,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,22,0,12,41,47,48,37,48,40,77,51,69,48
1500000US110010010012,110010010012,"Block Group 2, Census Tract 10.01, District of Columbia, District of Columbia",904,115,0,12,18,29,0,12,15,25,20,33,0,12,57,54,61,76,64,76,17,27,18,28,30,36,94,59,75,58,196,80,239,91
1500000US110010010013,110010010013,"Block Group 3, Census Tract 10.01, District of Columbia, District of Columbia",355,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19,31,0,12,0,12,49,33,36,37,20,31,0,12,231,76
1500000US110010010014,110010010014,"Block Group 4, Census Tract 10.01, District of Columbia, District of Columbia",503,81,0,12,0,12,0,12,0,12,0,12,0,12,20,32,0,12,17,25,32,34,13,22,52,47,60,50,0,12,139,79,170,68
1500000US110010010015,110010010015,"Block Group 5, Census Tract 10.01, District of Columbia, District of Columbia",322,77,27,32,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13,21,74,55,11,19,30,35,167,103
1500000US110010010016,110010010016,"Block Group 6, Census Tract 10.01, District of Columbia, District of Columbia",441,74,22,36,0,12,0,12,0,12,17,26,0,12,0,12,0,12,0,12,0,12,32,36,70,56,17,26,33,37,142,72,108,56
1500000US110010010021,110010010021,"Block Group 1, Census Tract 10.02, District of Columbia, District of Columbia",611,160,273,109,55,60,49,63,10,17,15,25,0,12,34,40,0,12,43,69,9,14,0,12,9,16,73,92,0,12,14,23,27,55
1500000US110010010022,110010010022,"Block Group 2, Census Tract 10.02, District of Columbia, District of Columbia",886,130,11,21,0,12,10,14,0,12,17,29,26,29,15,23,110,82,32,36,33,36,18,30,124,76,66,51,64,52,211,91,149,80
1500000US110010010023,110010010023,"Block Group 3, Census Tract 10.02, District of Columbia, District of Columbia",478,113,20,31,0,12,0,12,50,78,0,12,0,12,0,12,0,12,0,12,0,12,32,36,62,57,64,61,50,48,93,58,107,87
1500000US110010011001,110010011001,"Block Group 1, Census Tract 11, District of Columbia, District of Columbia",878,120,0,12,0,12,26,30,0,12,10,17,0,12,31,37,53,84,0,12,20,31,48,40,93,64,73,59,77,68,94,62,353,95
1500000US110010011002,110010011002,"Block Group 2, Census Tract 11, District of Columbia, District of Columbia",583,132,59,89,0,12,11,13,0,12,0,12,0,12,20,31,18,28,0,12,14,22,12,21,38,38,35,39,44,41,41,39,291,95
1500000US110010011003,110010011003,"Block Group 3, Census Tract 11, District of Columbia, District of Columbia",318,85,0,12,0,12,0,12,0,12,0,12,0,12,15,24,0,12,12,19,17,29,26,42,77,46,22,36,0,12,15,24,134,68
1500000US110010011004,110010011004,"Block Group 4, Census Tract 11, District of Columbia, District of Columbia",359,64,0,12,26,39,0,12,0,12,15,26,0,12,0,12,0,12,15,25,0,12,14,22,14,22,96,80,18,30,48,54,113,53
