id2,BG_ID,BG_NAME,Geography,Population,Pct_Poverty,Pct_UnEmpl,Pct_VacUnits
1.10E+11,A083021,"Block Group 1, Census Tract 83.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 83.02, District of Columbia, District of Columbia",2446,4.906643508,2.05811138,4.940711462
1.10E+11,A084021,"Block Group 1, Census Tract 84.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 84.02, District of Columbia, District of Columbia",1022,3.326810176,2.29468599,5.295315682
1.10E+11,A084022,"Block Group 2, Census Tract 84.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 84.02, District of Columbia, District of Columbia",1107,20.11019284,10.61827957,3.038674033
1.10E+11,A084101,"Block Group 1, Census Tract 84.10, District of Columbia, District of Columbia","Block Group 1, Census Tract 84.10, District of Columbia, District of Columbia",1454,7.425399028,3.448275862,11.37440758
1.10E+11,A087011,"Block Group 1, Census Tract 87.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 87.01, District of Columbia, District of Columbia",1515,8.228268082,2.728873239,11.53238547
1.10E+11,A087012,"Block Group 2, Census Tract 87.01, District of Columbia, District of Columbia","Block Group 2, Census Tract 87.01, District of Columbia, District of Columbia",1127,14.01952085,4.644412192,20.55555556
1.10E+11,A087021,"Block Group 1, Census Tract 87.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 87.02, District of Columbia, District of Columbia",1285,31.20622568,14.23076923,19.36619718
1.10E+11,A087022,"Block Group 2, Census Tract 87.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 87.02, District of Columbia, District of Columbia",741,17.13900135,6.423982869,0
1.10E+11,A088021,"Block Group 1, Census Tract 88.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 88.02, District of Columbia, District of Columbia",617,22.6904376,5.722891566,13.81578947
1.10E+11,A088022,"Block Group 2, Census Tract 88.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 88.02, District of Columbia, District of Columbia",1628,26.5970516,12.16041397,8.591549296
1.10E+11,A088023,"Block Group 3, Census Tract 88.02, District of Columbia, District of Columbia","Block Group 3, Census Tract 88.02, District of Columbia, District of Columbia",1469,11.36827774,9.727164887,8.178438662
1.10E+11,A088024,"Block Group 4, Census Tract 88.02, District of Columbia, District of Columbia","Block Group 4, Census Tract 88.02, District of Columbia, District of Columbia",1183,26.10921502,20.83916084,8.2
1.10E+11,A088031,"Block Group 1, Census Tract 88.03, District of Columbia, District of Columbia","Block Group 1, Census Tract 88.03, District of Columbia, District of Columbia",2344,51.953125,18.7755102,17.19653179
1.10E+11,A088041,"Block Group 1, Census Tract 88.04, District of Columbia, District of Columbia","Block Group 1, Census Tract 88.04, District of Columbia, District of Columbia",980,16.16266945,13.42925659,26.44320298
1.10E+11,A088042,"Block Group 2, Census Tract 88.04, District of Columbia, District of Columbia","Block Group 2, Census Tract 88.04, District of Columbia, District of Columbia",1520,33.35526316,22.03208556,17.44186047
1.10E+11,A089031,"Block Group 1, Census Tract 89.03, District of Columbia, District of Columbia","Block Group 1, Census Tract 89.03, District of Columbia, District of Columbia",2628,27.43227776,6.25,11.38535032
1.10E+11,A089032,"Block Group 2, Census Tract 89.03, District of Columbia, District of Columbia","Block Group 2, Census Tract 89.03, District of Columbia, District of Columbia",820,26.34146341,15.87301587,26.59574468
1.10E+11,A089041,"Block Group 1, Census Tract 89.04, District of Columbia, District of Columbia","Block Group 1, Census Tract 89.04, District of Columbia, District of Columbia",2255,25.23281596,15.52651806,13.5431918
1.10E+11,A089042,"Block Group 2, Census Tract 89.04, District of Columbia, District of Columbia","Block Group 2, Census Tract 89.04, District of Columbia, District of Columbia",1083,28.53185596,12.89782245,18.46921797
1.10E+11,A090001,"Block Group 1, Census Tract 90, District of Columbia, District of Columbia","Block Group 1, Census Tract 90, District of Columbia, District of Columbia",1448,20.3038674,0,3.552206674
