OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,002502 4,24,A025024
ASSAULT W/DANGEROUS WEAPON,002600 1,3,A026001
ASSAULT W/DANGEROUS WEAPON,002701 1,2,A027011
ASSAULT W/DANGEROUS WEAPON,002701 2,4,A027012
ASSAULT W/DANGEROUS WEAPON,002701 3,2,A027013
ASSAULT W/DANGEROUS WEAPON,002701 4,3,A027014
ASSAULT W/DANGEROUS WEAPON,002702 1,44,A027021
ASSAULT W/DANGEROUS WEAPON,002702 2,12,A027022
ASSAULT W/DANGEROUS WEAPON,002801 1,22,A028011
ASSAULT W/DANGEROUS WEAPON,002801 2,29,A028012
ASSAULT W/DANGEROUS WEAPON,002802 1,65,A028021
ASSAULT W/DANGEROUS WEAPON,002802 2,41,A028022
ASSAULT W/DANGEROUS WEAPON,002900 1,8,A029001
ASSAULT W/DANGEROUS WEAPON,002900 2,31,A029002
ASSAULT W/DANGEROUS WEAPON,003000 1,34,A030001
ASSAULT W/DANGEROUS WEAPON,003000 2,41,A030002
ASSAULT W/DANGEROUS WEAPON,003100 1,89,A031001
ASSAULT W/DANGEROUS WEAPON,003200 1,8,A032001
ASSAULT W/DANGEROUS WEAPON,003200 2,12,A032002
ASSAULT W/DANGEROUS WEAPON,003200 3,38,A032003
ASSAULT W/DANGEROUS WEAPON,003200 4,15,A032004
ASSAULT W/DANGEROUS WEAPON,003301 1,6,A033011
ASSAULT W/DANGEROUS WEAPON,003301 2,6,A033012
ASSAULT W/DANGEROUS WEAPON,003301 3,8,A033013
ASSAULT W/DANGEROUS WEAPON,003302 1,4,A033021
ASSAULT W/DANGEROUS WEAPON,003302 2,21,A033022
ASSAULT W/DANGEROUS WEAPON,003400 1,41,A034001
ASSAULT W/DANGEROUS WEAPON,003400 2,31,A034002
ASSAULT W/DANGEROUS WEAPON,003500 1,40,A035001
ASSAULT W/DANGEROUS WEAPON,003500 2,36,A035002
ASSAULT W/DANGEROUS WEAPON,003600 1,7,A036001
ASSAULT W/DANGEROUS WEAPON,003600 2,10,A036002
ASSAULT W/DANGEROUS WEAPON,003600 3,31,A036003
ASSAULT W/DANGEROUS WEAPON,003700 1,11,A037001
ASSAULT W/DANGEROUS WEAPON,003700 2,43,A037002
ASSAULT W/DANGEROUS WEAPON,003700 3,14,A037003
