OFFENSE,BLOCK_GROUP,COUNT,BG_ID
HOMICIDE,002400 2,1,A024002
HOMICIDE,002400 3,1,A024003
HOMICIDE,002502 1,1,A025021
HOMICIDE,002502 2,1,A025022
HOMICIDE,002502 4,1,A025024
HOMICIDE,002701 2,1,A027012
HOMICIDE,002702 1,2,A027021
HOMICIDE,002801 1,2,A028011
HOMICIDE,002801 2,4,A028012
HOMICIDE,002802 1,3,A028021
HOMICIDE,002802 2,2,A028022
HOMICIDE,002900 1,1,A029001
HOMICIDE,002900 2,1,A029002
HOMICIDE,003000 2,1,A030002
HOMICIDE,003100 1,5,A031001
HOMICIDE,003200 1,1,A032001
HOMICIDE,003200 2,1,A032002
HOMICIDE,003301 3,1,A033013
HOMICIDE,003302 1,2,A033021
HOMICIDE,003302 2,5,A033022
HOMICIDE,003400 2,1,A034002
HOMICIDE,003500 1,7,A035001
HOMICIDE,003600 2,1,A036002
HOMICIDE,003600 3,3,A036003
HOMICIDE,003700 2,1,A037002
HOMICIDE,003800 1,2,A038001
HOMICIDE,003800 3,2,A038003
HOMICIDE,003900 1,1,A039001
HOMICIDE,003900 2,1,A039002
HOMICIDE,004100 1,1,A041001
HOMICIDE,004300 1,2,A043001
HOMICIDE,004300 2,1,A043002
HOMICIDE,004400 2,5,A044002
HOMICIDE,004600 1,3,A046001
HOMICIDE,004600 2,2,A046002
HOMICIDE,004701 1,2,A047011
HOMICIDE,004701 2,4,A047012
HOMICIDE,004702 1,2,A047021
HOMICIDE,004801 1,2,A048011
HOMICIDE,004802 1,1,A048021
HOMICIDE,004802 2,3,A048022
HOMICIDE,004901 1,3,A049011
HOMICIDE,004901 2,1,A049012
HOMICIDE,004902 1,2,A049021
HOMICIDE,005001 2,1,A050012
HOMICIDE,005002 3,2,A050023
HOMICIDE,005500 3,1,A055003
HOMICIDE,005800 1,2,A058001
HOMICIDE,005900 1,4,A059001
HOMICIDE,006202 1,3,A062021
HOMICIDE,006400 1,4,A064001
HOMICIDE,006400 2,3,A064002
HOMICIDE,006802 2,1,A068022
HOMICIDE,007000 2,1,A070002
HOMICIDE,007100 1,1,A071001
HOMICIDE,007100 2,4,A071002
HOMICIDE,007200 1,4,A072001
HOMICIDE,007200 2,2,A072002
HOMICIDE,007304 1,10,A073041
HOMICIDE,007304 2,2,A073042
HOMICIDE,007304 3,4,A073043
HOMICIDE,007401 1,9,A074011
HOMICIDE,007401 2,6,A074012
HOMICIDE,007403 1,12,A074031
HOMICIDE,007404 1,3,A074041
HOMICIDE,007404 2,2,A074042
HOMICIDE,007404 3,9,A074043
HOMICIDE,007406 1,4,A074061
HOMICIDE,007406 2,17,A074062
HOMICIDE,007407 2,10,A074072
HOMICIDE,007408 1,15,A074081
HOMICIDE,007409 2,4,A074092
HOMICIDE,007409 3,6,A074093
HOMICIDE,007502 1,15,A075021
HOMICIDE,007502 2,9,A075022
HOMICIDE,007503 1,14,A075031
HOMICIDE,007503 2,2,A075032
HOMICIDE,007504 1,15,A075041
HOMICIDE,007601 1,6,A076011
HOMICIDE,007601 3,5,A076013
HOMICIDE,007601 4,5,A076014
HOMICIDE,007601 5,2,A076015
HOMICIDE,007603 1,5,A076031
HOMICIDE,007603 3,1,A076033
HOMICIDE,007604 1,2,A076041
HOMICIDE,007604 2,3,A076042
HOMICIDE,007605 2,4,A076052
HOMICIDE,007605 3,10,A076053
HOMICIDE,007703 1,1,A077031
HOMICIDE,007703 2,1,A077032
HOMICIDE,007703 3,9,A077033
HOMICIDE,007703 4,1,A077034
HOMICIDE,007707 1,8,A077071
HOMICIDE,007707 2,2,A077072
HOMICIDE,007708 1,2,A077081
HOMICIDE,007708 2,3,A077082
HOMICIDE,007709 1,2,A077091
HOMICIDE,007803 1,3,A078031
HOMICIDE,007803 3,1,A078033
HOMICIDE,007803 4,2,A078034
HOMICIDE,007804 1,2,A078041
HOMICIDE,007804 2,16,A078042
HOMICIDE,007806 1,4,A078061
HOMICIDE,007806 2,5,A078062
HOMICIDE,007807 1,5,A078071
HOMICIDE,007807 2,6,A078072
HOMICIDE,007808 1,10,A078081
HOMICIDE,007808 2,9,A078082
HOMICIDE,007809 1,6,A078091
HOMICIDE,007809 2,3,A078092
HOMICIDE,007901 1,9,A079011
HOMICIDE,007901 2,1,A079012
HOMICIDE,007901 3,2,A079013
HOMICIDE,007901 4,6,A079014
HOMICIDE,008001 1,6,A080011
HOMICIDE,008001 3,4,A080013
HOMICIDE,008002 2,1,A080022
HOMICIDE,008302 1,2,A083021
HOMICIDE,008402 2,1,A084022
HOMICIDE,008410 1,4,A084101
HOMICIDE,008701 1,2,A087011
HOMICIDE,008701 2,1,A087012
HOMICIDE,008702 1,4,A087021
HOMICIDE,008702 2,1,A087022
HOMICIDE,008802 2,3,A088022
HOMICIDE,008802 3,2,A088023
HOMICIDE,008802 4,1,A088024
HOMICIDE,008803 1,18,A088031
HOMICIDE,008804 1,3,A088041
HOMICIDE,008804 2,5,A088042
HOMICIDE,008903 1,4,A089031
HOMICIDE,008904 1,10,A089041
HOMICIDE,008904 2,8,A089042
HOMICIDE,009000 2,1,A090002
HOMICIDE,009102 1,2,A091021
HOMICIDE,009102 2,11,A091022
HOMICIDE,009102 3,4,A091023
HOMICIDE,009203 2,4,A092032
HOMICIDE,009204 1,4,A092041
HOMICIDE,009204 2,3,A092042
HOMICIDE,009301 1,1,A093011
HOMICIDE,009301 3,1,A093013
HOMICIDE,009302 1,2,A093021
HOMICIDE,009501 3,1,A095013
HOMICIDE,009503 1,2,A095031
HOMICIDE,009503 2,1,A095032
HOMICIDE,009504 1,2,A095041
HOMICIDE,009505 1,2,A095051
HOMICIDE,009505 3,3,A095053
HOMICIDE,009507 1,3,A095071
HOMICIDE,009508 1,1,A095081
HOMICIDE,009601 1,11,A096011
HOMICIDE,009602 1,5,A096021
HOMICIDE,009603 1,1,A096031
HOMICIDE,009603 2,2,A096032
HOMICIDE,009604 1,1,A096041
HOMICIDE,009604 2,4,A096042
HOMICIDE,009700 1,8,A097001
HOMICIDE,009801 1,6,A098011
HOMICIDE,009802 1,1,A098021
HOMICIDE,009802 2,2,A098022
HOMICIDE,009803 1,1,A098031
HOMICIDE,009803 2,2,A098032
HOMICIDE,009803 3,12,A098033
HOMICIDE,009804 1,8,A098041
HOMICIDE,009804 2,2,A098042
HOMICIDE,009807 1,3,A098071
HOMICIDE,009807 2,13,A098072
HOMICIDE,009810 1,8,A098101
HOMICIDE,009810 2,1,A098102
HOMICIDE,009811 1,7,A098111
HOMICIDE,009811 2,13,A098112
HOMICIDE,009901 2,1,A099012
HOMICIDE,009903 1,4,A099031
HOMICIDE,009903 2,3,A099032
HOMICIDE,009904 1,3,A099041
HOMICIDE,009905 1,5,A099051
HOMICIDE,009905 2,2,A099052
HOMICIDE,009905 3,3,A099053
HOMICIDE,009906 1,7,A099061
HOMICIDE,009907 1,3,A099071
HOMICIDE,009907 2,18,A099072
HOMICIDE,010100 1,1,A101001
HOMICIDE,010200 2,2,A102002
HOMICIDE,010300 1,1,A103001
HOMICIDE,010400 1,7,A104001
HOMICIDE,010400 2,11,A104002
HOMICIDE,010600 2,6,A106002
HOMICIDE,010700 1,1,A107001
HOMICIDE,010900 1,7,A109001
HOMICIDE,010900 2,5,A109002
HOMICIDE,011000 2,1,A110002
HOMICIDE,011100 1,1,A111001
HOMICIDE,011100 2,2,A111002
HOMICIDE,011100 3,3,A111003
ROBBERY,000100 1,2,A001001
ROBBERY,000100 2,10,A001002
ROBBERY,000100 3,8,A001003
ROBBERY,000100 4,36,A001004
ROBBERY,000201 1,5,A002011
ROBBERY,000202 1,6,A002021
ROBBERY,000202 2,15,A002022
ROBBERY,000202 3,23,A002023
ROBBERY,000202 4,20,A002024
ROBBERY,000300 1,8,A003001
ROBBERY,000300 3,1,A003003
ROBBERY,000400 1,1,A004001
ROBBERY,000400 2,1,A004002
ROBBERY,000501 1,6,A005011
ROBBERY,000501 2,8,A005012
ROBBERY,000502 1,10,A005021
ROBBERY,000502 2,5,A005022
ROBBERY,000600 2,7,A006002
ROBBERY,000600 3,6,A006003
ROBBERY,000600 4,2,A006004
ROBBERY,000701 1,4,A007011
ROBBERY,000701 2,1,A007012
ROBBERY,000702 1,3,A007021
ROBBERY,000702 3,3,A007023
ROBBERY,000801 1,3,A008011
ROBBERY,000801 3,1,A008013
ROBBERY,000801 4,1,A008014
ROBBERY,000802 2,1,A008022
ROBBERY,000901 1,2,A009011
ROBBERY,000901 2,2,A009012
ROBBERY,000901 3,7,A009013
ROBBERY,000902 1,1,A009021
ROBBERY,000902 2,6,A009022
ROBBERY,001001 1,12,A010011
ROBBERY,001001 2,20,A010012
ROBBERY,001001 3,3,A010013
ROBBERY,001001 4,8,A010014
ROBBERY,001001 5,1,A010015
ROBBERY,001001 6,4,A010016
ROBBERY,001002 2,2,A010022
ROBBERY,001002 3,4,A010023
ROBBERY,001100 1,19,A011001
ROBBERY,001100 2,9,A011002
ROBBERY,001100 3,13,A011003
ROBBERY,001100 4,37,A011004
ROBBERY,001200 1,2,A012001
ROBBERY,001200 2,7,A012002
ROBBERY,001200 3,7,A012003
ROBBERY,001200 4,11,A012004
ROBBERY,001302 1,5,A013021
ROBBERY,001302 2,5,A013022
ROBBERY,001302 3,1,A013023
ROBBERY,001401 1,2,A014011
ROBBERY,001401 2,3,A014012
ROBBERY,001402 1,2,A014021
ROBBERY,001402 2,3,A014022
ROBBERY,001402 3,2,A014023
ROBBERY,001500 2,3,A015002
ROBBERY,001500 3,1,A015003
ROBBERY,001500 5,2,A015005
ROBBERY,001600 1,15,A016001
ROBBERY,001600 2,31,A016002
ROBBERY,001600 3,4,A016003
ROBBERY,001600 4,7,A016004
ROBBERY,001702 1,44,A017021
ROBBERY,001702 2,37,A017022
ROBBERY,001803 1,21,A018031
ROBBERY,001803 2,58,A018032
ROBBERY,001804 1,21,A018041
ROBBERY,001804 2,78,A018042
ROBBERY,001804 3,37,A018043
ROBBERY,001901 1,12,A019011
ROBBERY,001901 2,20,A019012
ROBBERY,001901 3,32,A019013
ROBBERY,001901 4,17,A019014
ROBBERY,001902 1,10,A019021
ROBBERY,001902 2,15,A019022
ROBBERY,002001 1,27,A020011
ROBBERY,002001 2,42,A020012
ROBBERY,002002 1,40,A020021
ROBBERY,002002 2,54,A020022
ROBBERY,002002 3,82,A020023
ROBBERY,002101 1,11,A021011
ROBBERY,002101 2,24,A021012
ROBBERY,002101 3,14,A021013
ROBBERY,002101 4,30,A021014
ROBBERY,002101 5,51,A021015
ROBBERY,002102 1,6,A021021
ROBBERY,002102 2,22,A021022
ROBBERY,002102 3,14,A021023
ROBBERY,002102 4,20,A021024
ROBBERY,002102 5,12,A021025
ROBBERY,002102 6,14,A021026
ROBBERY,002201 1,23,A022011
ROBBERY,002201 2,32,A022012
ROBBERY,002201 3,12,A022013
ROBBERY,002202 1,48,A022021
ROBBERY,002202 2,16,A022022
ROBBERY,002202 3,11,A022023
ROBBERY,002301 1,11,A023011
ROBBERY,002301 2,19,A023012
ROBBERY,002302 1,15,A023021
ROBBERY,002400 1,14,A024001
ROBBERY,002400 2,38,A024002
ROBBERY,002400 3,17,A024003
ROBBERY,002400 4,14,A024004
ROBBERY,002501 1,69,A025011
ROBBERY,002501 2,29,A025012
ROBBERY,002502 1,47,A025021
ROBBERY,002502 2,50,A025022
ROBBERY,002502 3,40,A025023
ROBBERY,002502 4,56,A025024
ROBBERY,002600 1,5,A026001
ROBBERY,002600 2,15,A026002
ROBBERY,002701 1,5,A027011
ROBBERY,002701 2,25,A027012
ROBBERY,002701 3,8,A027013
ROBBERY,002701 4,6,A027014
ROBBERY,002702 1,45,A027021
ROBBERY,002702 2,28,A027022
ROBBERY,002702 3,12,A027023
ROBBERY,002801 1,31,A028011
ROBBERY,002801 2,80,A028012
ROBBERY,002802 1,121,A028021
ROBBERY,002802 2,94,A028022
ROBBERY,002900 1,50,A029001
ROBBERY,002900 2,82,A029002
ROBBERY,003000 1,85,A030001
ROBBERY,003000 2,63,A030002
ROBBERY,003100 1,136,A031001
ROBBERY,003200 1,13,A032001
ROBBERY,003200 2,17,A032002
ROBBERY,003200 3,30,A032003
ROBBERY,003200 4,26,A032004
ROBBERY,003301 1,26,A033011
ROBBERY,003301 2,29,A033012
ROBBERY,003301 3,18,A033013
ROBBERY,003302 1,33,A033021
ROBBERY,003302 2,37,A033022
ROBBERY,003400 1,28,A034001
ROBBERY,003400 2,98,A034002
ROBBERY,003500 1,81,A035001
ROBBERY,003500 2,52,A035002
ROBBERY,003600 1,35,A036001
ROBBERY,003600 2,21,A036002
ROBBERY,003600 3,73,A036003
ROBBERY,003700 1,18,A037001
ROBBERY,003700 2,61,A037002
ROBBERY,003700 3,35,A037003
ROBBERY,003800 1,41,A038001
ROBBERY,003800 2,21,A038002
ROBBERY,003800 3,36,A038003
ROBBERY,003900 1,13,A039001
ROBBERY,003900 2,9,A039002
ROBBERY,003900 3,22,A039003
ROBBERY,003900 4,11,A039004
ROBBERY,004001 1,29,A040011
ROBBERY,004001 2,3,A040012
ROBBERY,004001 3,9,A040013
ROBBERY,004002 1,39,A040021
ROBBERY,004002 2,19,A040022
ROBBERY,004002 3,16,A040023
ROBBERY,004100 1,6,A041001
ROBBERY,004100 2,3,A041002
ROBBERY,004100 3,10,A041003
ROBBERY,004201 1,21,A042011
ROBBERY,004201 2,27,A042012
ROBBERY,004202 1,18,A042021
ROBBERY,004202 2,17,A042022
ROBBERY,004300 1,43,A043001
ROBBERY,004300 2,36,A043002
ROBBERY,004400 1,103,A044001
ROBBERY,004400 2,263,A044002
ROBBERY,004600 1,68,A046001
ROBBERY,004600 2,66,A046002
ROBBERY,004701 1,13,A047011
ROBBERY,004701 2,41,A047012
ROBBERY,004702 1,84,A047021
ROBBERY,004801 1,95,A048011
ROBBERY,004802 1,30,A048021
ROBBERY,004802 2,36,A048022
ROBBERY,004901 1,32,A049011
ROBBERY,004901 2,59,A049012
ROBBERY,004902 1,27,A049021
ROBBERY,004902 2,59,A049022
ROBBERY,005001 1,39,A050011
ROBBERY,005001 2,22,A050012
ROBBERY,005002 1,11,A050021
ROBBERY,005002 2,15,A050022
ROBBERY,005002 3,17,A050023
ROBBERY,005002 4,9,A050024
ROBBERY,005201 1,11,A052011
ROBBERY,005201 2,33,A052012
ROBBERY,005201 3,30,A052013
ROBBERY,005201 4,31,A052014
ROBBERY,005301 1,4,A053011
ROBBERY,005301 2,20,A053012
ROBBERY,005301 3,10,A053013
ROBBERY,005301 4,17,A053014
ROBBERY,005500 1,53,A055001
ROBBERY,005500 2,8,A055002
ROBBERY,005500 3,26,A055003
ROBBERY,005500 4,15,A055004
ROBBERY,005500 5,8,A055005
ROBBERY,005600 1,16,A056001
ROBBERY,005600 2,8,A056002
ROBBERY,005600 3,5,A056003
ROBBERY,005600 4,6,A056004
ROBBERY,005800 1,190,A058001
ROBBERY,005800 2,77,A058002
ROBBERY,005900 1,76,A059001
ROBBERY,006202 1,45,A062021
ROBBERY,006400 1,43,A064001
ROBBERY,006400 2,19,A064002
ROBBERY,006500 1,25,A065001
ROBBERY,006500 2,12,A065002
ROBBERY,006600 1,42,A066001
ROBBERY,006700 1,25,A067001
ROBBERY,006700 2,18,A067002
ROBBERY,006700 3,32,A067003
ROBBERY,006801 1,56,A068011
ROBBERY,006801 2,20,A068012
ROBBERY,006802 1,18,A068021
ROBBERY,006802 2,36,A068022
ROBBERY,006804 1,7,A068041
ROBBERY,006900 1,55,A069001
ROBBERY,006900 2,60,A069002
ROBBERY,007000 1,35,A070001
ROBBERY,007000 2,72,A070002
ROBBERY,007100 1,21,A071001
ROBBERY,007100 2,88,A071002
ROBBERY,007200 1,27,A072001
ROBBERY,007200 2,49,A072002
ROBBERY,007304 1,133,A073041
ROBBERY,007304 2,35,A073042
ROBBERY,007304 3,39,A073043
ROBBERY,007401 1,116,A074011
ROBBERY,007401 2,47,A074012
ROBBERY,007403 1,73,A074031
ROBBERY,007404 1,46,A074041
ROBBERY,007404 2,45,A074042
ROBBERY,007404 3,38,A074043
ROBBERY,007406 1,46,A074061
ROBBERY,007406 2,108,A074062
ROBBERY,007407 1,31,A074071
ROBBERY,007407 2,50,A074072
ROBBERY,007408 1,80,A074081
ROBBERY,007409 1,17,A074091
ROBBERY,007409 2,22,A074092
ROBBERY,007409 3,44,A074093
ROBBERY,007502 1,53,A075021
ROBBERY,007502 2,77,A075022
ROBBERY,007503 1,140,A075031
ROBBERY,007503 2,41,A075032
ROBBERY,007504 1,88,A075041
ROBBERY,007601 1,84,A076011
ROBBERY,007601 2,19,A076012
ROBBERY,007601 3,40,A076013
ROBBERY,007601 4,32,A076014
ROBBERY,007601 5,18,A076015
ROBBERY,007603 1,68,A076031
ROBBERY,007603 2,52,A076032
ROBBERY,007603 3,13,A076033
ROBBERY,007603 4,35,A076034
ROBBERY,007604 1,30,A076041
ROBBERY,007604 2,40,A076042
ROBBERY,007604 3,21,A076043
ROBBERY,007605 1,8,A076051
ROBBERY,007605 2,38,A076052
ROBBERY,007605 3,24,A076053
ROBBERY,007703 1,51,A077031
ROBBERY,007703 2,20,A077032
ROBBERY,007703 3,91,A077033
ROBBERY,007703 4,26,A077034
ROBBERY,007707 1,78,A077071
ROBBERY,007707 2,45,A077072
ROBBERY,007708 1,35,A077081
ROBBERY,007708 2,58,A077082
ROBBERY,007709 1,31,A077091
ROBBERY,007709 2,22,A077092
ROBBERY,007803 1,145,A078031
ROBBERY,007803 2,20,A078032
ROBBERY,007803 3,62,A078033
ROBBERY,007803 4,44,A078034
ROBBERY,007804 1,59,A078041
ROBBERY,007804 2,99,A078042
ROBBERY,007804 3,68,A078043
ROBBERY,007806 1,59,A078061
ROBBERY,007806 2,77,A078062
ROBBERY,007807 1,51,A078071
ROBBERY,007807 2,70,A078072
ROBBERY,007808 1,67,A078081
ROBBERY,007808 2,70,A078082
ROBBERY,007808 3,26,A078083
ROBBERY,007809 1,31,A078091
ROBBERY,007809 2,57,A078092
ROBBERY,007901 1,59,A079011
ROBBERY,007901 2,27,A079012
ROBBERY,007901 3,12,A079013
ROBBERY,007901 4,68,A079014
ROBBERY,007903 1,76,A079031
ROBBERY,008001 1,25,A080011
ROBBERY,008001 2,38,A080012
ROBBERY,008001 3,18,A080013
ROBBERY,008002 1,36,A080021
ROBBERY,008002 2,39,A080022
ROBBERY,008100 1,12,A081001
ROBBERY,008100 2,11,A081002
ROBBERY,008100 3,7,A081003
ROBBERY,008200 1,8,A082001
ROBBERY,008200 2,9,A082002
ROBBERY,008301 1,24,A083011
ROBBERY,008301 2,19,A083012
ROBBERY,008302 1,92,A083021
ROBBERY,008402 1,58,A084021
ROBBERY,008402 2,54,A084022
ROBBERY,008410 1,103,A084101
ROBBERY,008701 1,48,A087011
ROBBERY,008701 2,34,A087012
ROBBERY,008702 1,46,A087021
ROBBERY,008702 2,20,A087022
ROBBERY,008802 1,25,A088021
ROBBERY,008802 2,81,A088022
ROBBERY,008802 3,55,A088023
ROBBERY,008802 4,32,A088024
ROBBERY,008803 1,182,A088031
ROBBERY,008804 1,34,A088041
ROBBERY,008804 2,95,A088042
ROBBERY,008903 1,50,A089031
ROBBERY,008903 2,13,A089032
ROBBERY,008904 1,61,A089041
ROBBERY,008904 2,86,A089042
ROBBERY,009000 1,14,A090001
ROBBERY,009000 2,6,A090002
ROBBERY,009102 1,42,A091021
ROBBERY,009102 2,147,A091022
ROBBERY,009102 3,19,A091023
ROBBERY,009201 1,48,A092011
ROBBERY,009203 1,25,A092031
ROBBERY,009203 2,41,A092032
ROBBERY,009204 1,38,A092041
ROBBERY,009204 2,53,A092042
ROBBERY,009301 1,17,A093011
ROBBERY,009301 2,46,A093012
ROBBERY,009301 3,21,A093013
ROBBERY,009301 4,19,A093014
ROBBERY,009302 1,49,A093021
ROBBERY,009400 1,18,A094001
ROBBERY,009400 2,40,A094002
ROBBERY,009400 3,23,A094003
ROBBERY,009400 4,5,A094004
ROBBERY,009501 1,33,A095011
ROBBERY,009501 2,15,A095012
ROBBERY,009501 3,44,A095013
ROBBERY,009503 1,25,A095031
ROBBERY,009503 2,8,A095032
ROBBERY,009503 3,7,A095033
ROBBERY,009504 1,44,A095041
ROBBERY,009504 2,16,A095042
ROBBERY,009505 1,16,A095051
ROBBERY,009505 2,4,A095052
ROBBERY,009505 3,27,A095053
SEX ABUSE,000100 1,1,A001001
SEX ABUSE,000100 2,2,A001002
SEX ABUSE,000100 3,2,A001003
SEX ABUSE,000100 4,7,A001004
SEX ABUSE,000201 1,4,A002011
SEX ABUSE,000202 1,6,A002021
SEX ABUSE,000202 2,1,A002022
SEX ABUSE,000202 3,9,A002023
SEX ABUSE,000202 4,11,A002024
SEX ABUSE,000300 1,3,A003001
SEX ABUSE,000300 4,1,A003004
SEX ABUSE,000400 1,2,A004001
SEX ABUSE,000501 1,2,A005011
SEX ABUSE,000501 2,3,A005012
SEX ABUSE,000502 2,2,A005022
SEX ABUSE,000600 2,2,A006002
SEX ABUSE,000701 2,2,A007012
SEX ABUSE,000702 2,2,A007022
SEX ABUSE,000801 3,2,A008013
SEX ABUSE,000901 1,1,A009011
SEX ABUSE,000901 3,4,A009013
SEX ABUSE,001001 1,2,A010011
SEX ABUSE,001001 2,3,A010012
SEX ABUSE,001002 2,4,A010022
SEX ABUSE,001002 3,1,A010023
SEX ABUSE,001100 3,1,A011003
SEX ABUSE,001200 1,3,A012001
SEX ABUSE,001200 3,1,A012003
SEX ABUSE,001302 3,6,A013023
SEX ABUSE,001401 2,1,A014012
SEX ABUSE,001500 3,1,A015003
SEX ABUSE,001600 2,2,A016002
SEX ABUSE,001702 2,2,A017022
SEX ABUSE,001803 1,2,A018031
SEX ABUSE,001803 2,4,A018032
SEX ABUSE,001804 2,9,A018042
SEX ABUSE,001804 3,1,A018043
SEX ABUSE,001901 1,6,A019011
SEX ABUSE,001901 2,3,A019012
SEX ABUSE,001901 4,2,A019014
SEX ABUSE,002001 1,2,A020011
SEX ABUSE,002001 2,2,A020012
SEX ABUSE,002002 1,1,A020021
SEX ABUSE,002002 2,10,A020022
SEX ABUSE,002002 3,6,A020023
SEX ABUSE,002101 1,3,A021011
SEX ABUSE,002101 2,4,A021012
SEX ABUSE,002101 4,4,A021014
SEX ABUSE,002101 5,8,A021015
SEX ABUSE,002102 1,1,A021021
SEX ABUSE,002102 2,2,A021022
SEX ABUSE,002102 3,4,A021023
SEX ABUSE,002102 4,2,A021024
SEX ABUSE,002102 5,1,A021025
SEX ABUSE,002102 6,1,A021026
SEX ABUSE,002201 1,1,A022011
SEX ABUSE,002201 2,2,A022012
SEX ABUSE,002201 3,2,A022013
SEX ABUSE,002202 1,3,A022021
SEX ABUSE,002202 2,3,A022022
SEX ABUSE,002202 3,1,A022023
SEX ABUSE,002301 1,4,A023011
SEX ABUSE,002301 2,1,A023012
SEX ABUSE,002302 1,11,A023021
SEX ABUSE,002400 1,4,A024001
SEX ABUSE,002400 2,3,A024002
SEX ABUSE,002400 3,3,A024003
SEX ABUSE,002501 1,6,A025011
SEX ABUSE,002501 2,3,A025012
SEX ABUSE,002502 1,3,A025021
SEX ABUSE,002502 2,3,A025022
SEX ABUSE,002502 3,3,A025023
SEX ABUSE,002502 4,7,A025024
SEX ABUSE,002600 1,2,A026001
SEX ABUSE,002600 2,3,A026002
SEX ABUSE,002701 1,2,A027011
SEX ABUSE,002701 2,5,A027012
SEX ABUSE,002701 3,1,A027013
SEX ABUSE,002701 4,1,A027014
SEX ABUSE,002702 1,6,A027021
SEX ABUSE,002702 2,1,A027022
SEX ABUSE,002702 3,1,A027023
SEX ABUSE,002801 1,2,A028011
SEX ABUSE,002801 2,11,A028012
SEX ABUSE,002802 1,5,A028021
SEX ABUSE,002802 2,6,A028022
SEX ABUSE,002900 1,1,A029001
SEX ABUSE,002900 2,4,A029002
SEX ABUSE,003000 1,4,A030001
SEX ABUSE,003000 2,4,A030002
SEX ABUSE,003100 1,7,A031001
SEX ABUSE,003200 1,3,A032001
SEX ABUSE,003200 3,5,A032003
SEX ABUSE,003200 4,5,A032004
SEX ABUSE,003301 1,1,A033011
SEX ABUSE,003301 3,3,A033013
SEX ABUSE,003302 1,4,A033021
SEX ABUSE,003302 2,1,A033022
SEX ABUSE,003400 1,1,A034001
SEX ABUSE,003400 2,9,A034002
SEX ABUSE,003500 1,4,A035001
SEX ABUSE,003500 2,7,A035002
SEX ABUSE,003600 1,2,A036001
SEX ABUSE,003600 2,3,A036002
SEX ABUSE,003600 3,2,A036003
SEX ABUSE,003700 1,2,A037001
SEX ABUSE,003700 2,4,A037002
SEX ABUSE,003700 3,6,A037003
SEX ABUSE,003800 1,10,A038001
SEX ABUSE,003800 2,3,A038002
SEX ABUSE,003800 3,2,A038003
SEX ABUSE,003900 1,1,A039001
SEX ABUSE,003900 2,3,A039002
SEX ABUSE,003900 3,1,A039003
SEX ABUSE,004001 1,2,A040011
SEX ABUSE,004002 1,11,A040021
SEX ABUSE,004002 2,2,A040022
SEX ABUSE,004100 1,12,A041001
SEX ABUSE,004100 3,2,A041003
SEX ABUSE,004201 1,4,A042011
SEX ABUSE,004201 2,2,A042012
SEX ABUSE,004202 1,5,A042021
SEX ABUSE,004202 2,3,A042022
SEX ABUSE,004300 1,6,A043001
SEX ABUSE,004300 2,6,A043002
SEX ABUSE,004400 1,7,A044001
SEX ABUSE,004400 2,18,A044002
SEX ABUSE,004600 1,7,A046001
SEX ABUSE,004600 2,3,A046002
SEX ABUSE,004701 1,2,A047011
SEX ABUSE,004701 2,3,A047012
SEX ABUSE,004702 1,11,A047021
SEX ABUSE,004801 1,10,A048011
SEX ABUSE,004802 1,2,A048021
SEX ABUSE,004802 2,6,A048022
SEX ABUSE,004901 1,1,A049011
SEX ABUSE,004901 2,2,A049012
SEX ABUSE,004902 1,3,A049021
SEX ABUSE,004902 2,7,A049022
SEX ABUSE,005001 2,2,A050012
SEX ABUSE,005002 1,2,A050021
SEX ABUSE,005002 2,4,A050022
SEX ABUSE,005002 3,1,A050023
SEX ABUSE,005002 4,9,A050024
SEX ABUSE,005201 1,5,A052011
SEX ABUSE,005201 2,4,A052012
SEX ABUSE,005201 3,8,A052013
SEX ABUSE,005201 4,2,A052014
SEX ABUSE,005301 2,3,A053012
SEX ABUSE,005301 3,2,A053013
SEX ABUSE,005301 4,4,A053014
SEX ABUSE,005500 1,7,A055001
SEX ABUSE,005500 2,1,A055002
SEX ABUSE,005500 3,11,A055003
SEX ABUSE,005500 4,4,A055004
SEX ABUSE,005500 5,1,A055005
SEX ABUSE,005600 1,6,A056001
SEX ABUSE,005600 2,1,A056002
SEX ABUSE,005600 3,2,A056003
SEX ABUSE,005600 4,4,A056004
SEX ABUSE,005800 1,17,A058001
SEX ABUSE,005800 2,7,A058002
SEX ABUSE,005900 1,33,A059001
SEX ABUSE,006202 1,22,A062021
SEX ABUSE,006400 1,3,A064001
SEX ABUSE,006400 2,3,A064002
SEX ABUSE,006500 2,2,A065002
SEX ABUSE,006600 1,4,A066001
SEX ABUSE,006700 1,2,A067001
SEX ABUSE,006700 2,1,A067002
SEX ABUSE,006700 3,2,A067003
SEX ABUSE,006801 1,6,A068011
SEX ABUSE,006801 2,2,A068012
SEX ABUSE,006802 1,3,A068021
SEX ABUSE,006802 2,2,A068022
SEX ABUSE,006804 1,27,A068041
SEX ABUSE,007000 1,1,A070001
SEX ABUSE,007000 2,5,A070002
SEX ABUSE,007100 1,5,A071001
SEX ABUSE,007100 2,3,A071002
SEX ABUSE,007200 1,7,A072001
SEX ABUSE,007200 2,5,A072002
SEX ABUSE,007304 1,11,A073041
SEX ABUSE,007304 2,7,A073042
SEX ABUSE,007304 3,3,A073043
SEX ABUSE,007401 1,9,A074011
SEX ABUSE,007401 2,4,A074012
